Date,Precipitation,Visibility,Traffic_Density,Probability,Risk_Level
2026-06-17,4.5,7.2,0.8,0.785,High Risk
2026-06-18,4.5,7.2,0.8,0.785,High Risk
2026-06-18T10:27:38.466164,5.0,5.0,0.8,0.945,High Risk
2026-06-18T10:28:09.824892,0.0,8.0,0.0,0.125,Low Risk
2026-06-18,0.0,15.0,0.85,0.315,Low Risk
2026-06-18,0.0,15.0,0.85,0.315,Low Risk
2026-06-19,0.0,14.4,0.85,0.405,Medium Risk
2026-06-19,0.0,15.0,0.85,0.395,Low Risk
2026-06-24,0.0,15.0,0.85,1.0,High Risk
2026-06-24,0.0,15.0,0.85,1.0,High Risk
2026-06-24,0.0,15.0,0.85,1.0,Medium Risk
2026-06-24,0.0,12.24,0.4,0.9511,Low Risk
2026-06-25,0.0,15.0,0.4,0.9511,Low Risk
2026-06-26,0.0,15.0,0.4,0.9511,Low Risk
2026-06-27,0.0,15.0,0.4,0.9511,Low Risk
2026-06-28,0.0,15.0,0.4,0.9511,Low Risk
2026-06-29,0.0,14.06,0.4,0.9511,Low Risk
2026-06-30,0.0,15.0,0.85,1.0,Medium Risk
2026-06-30,0.0,15.0,0.4,0.9511,Low Risk
2026-07-01,0.0,11.06,0.4,0.9511,Low Risk
2026-07-02,0.0,14.58,0.4,0.9511,Low Risk
2026-07-03,0.0,10.86,0.4,0.9511,Low Risk
2026-07-04,0.0,15.0,0.85,1.0,Medium Risk
2026-07-05,0.0,15.0,0.4,0.9511,Low Risk
2026-07-06,0.0,15.0,0.4,0.9511,Low Risk
2026-07-07,0.0,15.0,0.4,0.9511,Low Risk
2026-07-08,0.0,15.0,0.85,1.0,Medium Risk
2026-07-09,0.0,15.0,0.4,0.9511,Low Risk
2026-07-10,0.0,13.02,0.4,0.9511,Low Risk
2026-07-11,0.0,14.02,0.85,1.0,Medium Risk
2026-07-12,0.0,15.0,0.85,1.0,Medium Risk
2026-07-13,0.0,15.0,0.4,0.9511,Low Risk
2026-07-14,0.1,8.14,0.85,1.0,High Risk
2026-07-15,0.1,8.18,0.85,1.0,High Risk
2026-07-16,0.0,15.0,0.85,1.0,Medium Risk
2026-07-17,0.0,11.7,0.85,1.0,Medium Risk
2026-07-18,0.0,15.0,0.85,1.0,Medium Risk
2026-07-19,0.1,8.14,0.85,1.0,High Risk
2026-07-20,0.0,13.38,0.4,0.9511,Low Risk
2026-07-21,0.0,8.54,0.85,1.0,High Risk
2026-07-22,0.0,13.68,0.85,1.0,Medium Risk
2026-07-23,0.0,15.0,0.85,1.0,Medium Risk
2026-07-24,0.0,15.0,0.85,1.0,Medium Risk
2026-07-25,0.0,15.0,0.85,1.0,Medium Risk
2026-07-26,0.0,15.0,0.85,1.0,Medium Risk
2026-07-27,0.0,15.0,0.4,0.9511,Low Risk
2026-07-28,0.0,15.0,0.85,1.0,Medium Risk
2026-07-29,0.0,15.0,0.85,1.0,Medium Risk
2026-07-30,0.0,15.0,0.85,1.0,Medium Risk
2026-07-31,0.0,15.0,0.85,1.0,Medium Risk
2026-08-01,0.0,15.0,0.85,1.0,Medium Risk
2026-08-02,0.0,15.0,0.85,1.0,Medium Risk
